00003	ALDH2	NP_000681.2	Alcohol sensitivity, acute	16440063,6582480,4065146,2987944,7593603,8903321,10780266,15654505,10627091,16046871
04073	NDUFS4	NP_002486.1	Mitochondrial complex I deficiency	9463323,10944442,11181577
04078	EP300	NP_001420.2	Colorectal cancer	10700188
04078	EP300	NP_001420.2	Rubinstein-Taybi syndrome	15706485
04094	NPHS1	NP_004637.1	Nephrosis 1, congenital, Finnish type	9660941,11854170,10577936,9543371,10652016
04103	CLCN7	NP_001278.1	Osteopetrosis, autosomal recessive	11207362,11741829
04103	CLCN7	NP_001278.1	Osteopetrosis, autosomal dominant, type II	11741829
04106	ACVR2B	NP_001097.2	Left-right axis malformations	9916847
04109	ALDH9A1	NP_000687.3	ALDH9A1*2 polymorphism	8786138
04119	PRKAG2	NP_057287.2	Cardiomyopathy, familial hypertrophic, with Wolff-Parkinson-White syndrome	11407343,11827995,11371514
04119	PRKAG2	NP_057287.2	Wolff-Parkinson-White syndrome, childhood-onset	11748095,15877279
04119	PRKAG2	NP_057287.2	Glycogen storage disease of heart, lethal congenital	15877279,11748095
04120	GNPAT	NP_055051.1	Rhizomelic chondrodysplasia punctata, type 2	9536089,7530787,1405476
04129	PHOX2A	NP_005160.2	Fibrosis of extraocular muscles, congenital, 2	11600883
04139	KRT85	NP_002274.1	Ectodermal dysplasia, 'pure' hair-nail type	16525032
04140	DLL3	NP_058637.1	Spondylocostal dysostosis, autosomal recessive, 1	10742114,12791036,2805381,15200511
04149	SPG7	NP_003110.1	Spastic paraplegia 7, autosomal recessive	9635427,9634528
04171	PSMA6	NP_002782.1	Myocardial infarction, susceptibility to	16845397
04174	DHCR7	NP_001351.2	Smith-Lemli-Opitz syndrome, mild	10814720,9634533
04174	DHCR7	NP_001351.2	Smith-Lemli-Opitz syndrome	9634533,9683613,10677299,10710236,11175299,10995508,11298379,11562938,9653161,10602371,11078571,15521979,10814720,9714007,11857552,16044199
04175	PEX10	NP_722540.1	Neonatal adrenoleukodystrophy	9683594
04175	PEX10	NP_722540.1	Zellweger syndrome, complementation group 7	9683594,9700193,10862081
04176	BUB1B	NP_001202.4	Colorectal cancer	9521327
04176	BUB1B	NP_001202.4	Colorectal cancer, somatic	9521327
04176	BUB1B	NP_001202.4	Mosaic variegated aneuploidy syndrome	9916837,15475955,11169558
04177	PKP2	NP_004563.2	Arrhythmogenic right ventricular dysplasia, familial, 9	15489853
04207	MAPK10	NP_620448.1	Epileptic encephalopathy, Lennox-Gastaut type	16249883
04209	DNMT3B	NP_008823.1	Immunodeficiency-centromeric instability-facial anomalies syndrome	10647011,10555141,10588719,3361388,12239717
04223	AQP9	NP_066190.2	Glycerol release during exercise, defective	11952783
04244	FAAH	NP_001432.2	Drug addiction, susceptibility to	12060782,15254019,16972078
04245	CITED2	NP_006070.2	Cardiac septal defects	16287139
04262	FANCG	NP_004620.1	Fanconi anemia, complementation group G	9806548,11093276,10807541,12552564,15657175,11126723
04285	NDUFS2	NP_004541.1	Mitochondrial complex I deficiency	11220739
04291	NOG	NP_005441.1	Symphalangism, proximal	10080184,17245852,7557985,11846737,11857750
04291	NOG	NP_005441.1	Multiple synostoses syndrome 1	10080184,9634519,11846737,6638061,16532400,15770128
04291	NOG	NP_005441.1	Tarsal-Carpal coalition syndrome	11545688,10080184
04291	NOG	NP_005441.1	Stapes ankylosis syndrome without symphalangism	12089654,10069712
04296	CUBN	NP_001072.2	Megaloblastic anemia 1, Finnish type	10080186,10887099
04303	PAPSS2	NP_001015880.1	Spondyloepimetaphyseal dysplasia, Pakistani type	9714015,9771708
04307	DYSF	NP_001124459.1	Myopathy, distal, with anterior tibial onset	9731526,11198284
04307	DYSF	NP_001124459.1	Miyoshi myopathy	9731526,12796534,11468312,16087766
04307	DYSF	NP_001124459.1	Muscular dystrophy, limb-girdle, type 2B	9731527,1483054,8808603,10196377,10766988,9009996,11134403
04318	IKZF1	NP_006051.1	Leukemia, acute lymphoblastic	9892693
04323	TLR2	NP_003255.2	Leprosy, susceptibility to	12646604
04323	TLR2	NP_003255.2	Colorectal cancer, susceptibility to	16879199
04325	TLR4	NP_612564.1	Endotoxin hyporesponsiveness	10835634,12124407,15547160,16879199
04326	TLR5	NP_003259.2	Legionnaire disease, susceptibility to	14623910,16027372
04328	COLQ	NP_005668.2	Endplate acetylcholinesterase deficiency	9689136,9758617,10441569,11865139
04333	RNF139	NP_009149.2	Renal cell carcinoma, hereditary	470981,9689122
04333	RNF139	NP_009149.2	Renal cell carcinoma, sporadic	9689122
04337	AGPS	NP_003650.1	Rhizomelic chondrodysplasia punctata, type 3	7807941,9553082,11152660
04353	ZIC2	NP_009060.2	Holoprosencephaly 5	9771712,11479728
04364	ART4	NP_066549.2	Dombrock blood group	11001920
04364	ART4	NP_066549.2	Dombrock-null phenotype	11724986,12130524,12028057
04373	AGPAT2	AAH19292.1	Lipodystrophy, congenital generalized, type 1	11967537,15181077,14715872
04384	PPP2R1B	NP_859050.1	Lung cancer	9765152,11996789
04407	PEX3	NP_003621.1	Zellweger syndrome, complementation group G	10958759,10942428,10968777
04416	ALDH6A1	NP_005580.1	Methylmalonate semialdehyde dehydrogenase deficiency	10947204
04431	COCH	NP_004077.1	Deafness, autosomal dominant nonsyndromic sensorineural 9	8817345,9806553,9931344,10400989,11332404,12928864,14512963
04435	RFXANK	NP_003712.1	Bare lymphocyte syndrome, type II, complementation group B	9806546,7951244,10803838,11313409,12618906
04436	ABCB11	NP_003733.2	Cholestasis, benign recurrent intrahepatic 2	16039748
04436	ABCB11	NP_003733.2	Cholestasis, progressive familial intrahepatic 2	9806540,10579978,15300568,16039748
04437	LCT	NP_002290.2	Lactase deficiency, congenital	16400612
04442	JRK	NP_003715.2	Epilepsy, childhood absence, evolving to juvenile myoclonic epilepsy	11463517
04444	BFSP2	NP_003562.1	Cataract, juvenile-onset	10729115
04444	BFSP2	NP_003562.1	Cataract, congenital	10739768
04453	ABCC6	NP_001162.4	Pseudoxanthoma elasticum	10835642,10835643,10811882,11536079,12714611,12176944,10913334,11493310,11179012,12384774,16541094,11880368,15086542
04457	BMPR1B	NP_001194.1	Brachydactyly, type A2	14523231
04457	BMPR1B	NP_001194.1	Chondrodysplasia, acromesomelic, with genital anomalies	15805157
04457	BMPR1B	NP_001194.1	Brachydactyly, type C	16957682
04469	TP63	NP_003713.3	Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3	10535733,10839977,12939657,9028452,9443880,11462173
04469	TP63	NP_003713.3	Ankyloblepharon-ectodermal defects-cleft lip/palate	11159940,9774969,15200513
04469	TP63	NP_003713.3	Limb-mammary syndrome	11462173,9774969,12037717
04469	TP63	NP_003713.3	Adult syndrome	11528512,11929852,16724007
04469	TP63	NP_003713.3	Rapp-Hodgkin syndrome	12939657,14684701,12766194
04469	TP63	NP_003713.3	Orofacial cleft 8	16740912
04469	TP63	NP_003713.3	Split-hand/foot malformation 4	3366140,10839977
04476	PNPO	NP_060599.1	Pyridoxamine 5-prime-phosphate oxidase deficiency	15772097,12200739
04477	KERA	NP_008966.1	Cornea plana 2	10802664,11754099,11726611
04488	KLF11	NP_003588.1	Maturity-onset diabetes of the young, type VII	15774581
04505	GJB3	NP_076872.1	Deafness, autosomal recessive	10587579
04505	GJB3	NP_076872.1	Deafness, autosomal dominant, with peripheral neuropathy	11309368
04505	GJB3	NP_076872.1	Erythrokeratodermia variabilis, autosomal recessive	12019212
04505	GJB3	NP_076872.1	Erythrokeratodermia variabilis	9843209,10594760,10798362
04505	GJB3	NP_076872.1	Deafness, autosomal dominant nonsyndromic sensorineural 2	9843210
04514	DNAH5	NP_001360.1	Ciliary dyskinesia, primary, 3	11788826
04514	DNAH5	NP_001360.1	Kartagener syndrome	11788826
04516	SLC4A4	NP_001128214.1	Renal tubular acidosis, proximal, with ocular abnormalities	10545938,11274232
04526	PEX16	NP_476515.1	Zellweger syndrome, complementation group D	9837814,11890679
04537	TSHR	NP_000360.2	Graves disease, susceptibility to	16106256,15741259
04537	TSHR	NP_000360.2	Thyrotropin receptor polymorphism	1955520,9385128,10037069
04537	TSHR	NP_000360.2	Hypothyroidism, congenital, nongoitrous, 1	7528344,12050212,9100579,12629076,8954020,9329388,9185526,10720030,11095460,9589691
04537	TSHR	NP_000360.2	Hyperthyroidism, nonautoimmune	7800007,9360556,8964822,7124278,7920658,9360555,9398746,9253356,9589634,10199795,11549687
04537	TSHR	NP_000360.2	Thyroid adenoma, hyperfunctioning, somatic	8413627,9294132
04537	TSHR	NP_000360.2	Thyroid carcinoma with thyrotoxicosis	9062474
04537	TSHR	NP_000360.2	Hyperthyroidism, familial gestational	9854118
04539	SLC22A5	NP_003051.1	Crohn disease, susceptibility to	15107849,16333318
04539	SLC22A5	NP_003051.1	Carnitine deficiency, systemic primary	3974805,9916797,9634512,9700600,10072434,2235122,9826541,10051646,10480371,10425211,3215194,2199596,11058897,11715001,15714519
04543	FLNB	NP_001448.2	Spondylocarpotarsal synostosis syndrome	14991055
04543	FLNB	NP_001448.2	Atelosteogenesis, type III	14991055
04543	FLNB	NP_001448.2	Atelosteogenesis, type I	14991055
04543	FLNB	NP_001448.2	Boomerang dysplasia	14991055,15994868
04543	FLNB	NP_001448.2	Larsen syndrome, autosomal dominant	14991055,16801345
04550	WISP3	NP_937882.1	Arthropathy, progressive pseudorheumatoid, of childhood	10471507
04550	WISP3	NP_937882.1	Spondyloepiphyseal dysplasia tarda with progressive arthropathy	15300987,15300964
04551	AP3B1	NP_003655.3	Hermansky-pudlak syndrome 2	10024875,14566336,8042664,16537806,16551969,11809908
04565	SCN9A	NP_002968.1	Erythermalgia, primary	14985375,15385606,16702558,16216943,1536168,15958509
04565	SCN9A	NP_002968.1	Paroxysmal extreme pain disorder	17145499
04565	SCN9A	NP_002968.1	Insensitivity to pain, channelopathy-associated	17167479
04571	PDLIM4	NP_003678.2	Osteoporosis, susceptibility to	12908099
04575	PER2	NP_073728.1	Advanced sleep-phase syndrome, familial	11232563
04589	FANCF	NP_073562.1	Fanconi anemia, complementation group F	10615118,9382107
04590	ASS1	NP_446464.1	Citrullinemia, mild	11941481
04590	ASS1	NP_446464.1	Citrullinemia, classic	7557970,2358466,1943692,11571557,11941481,934749
04591	RPS19	NP_001013.1	Diamond-Blackfan anemia	9988267,10598818,12586610
04601	WNT4	NP_110388.2	Rokitansky-Kuster-Hauser syndrome	15317892
04609	TNFRSF11A	NP_003830.1	Paget disease of bone	10615125
04609	TNFRSF11A	NP_003830.1	Expansile osteolysis, familial	7911698,10615125
04613	DPM1	NP_003850.1	Congenital disorder of glycosylation, type Ie	10642597,10642602
04616	LRP5	NP_002326.2	Osteoporosis-pseudoglioma syndrome	11719191
04616	LRP5	NP_002326.2	High bone mass	11741193,12015390
04616	LRP5	NP_002326.2	Osteosclerosis, autosomal dominant	12579474
04616	LRP5	NP_002326.2	Osteopetrosis, autosomal dominant, type I	12579474,11741193,12015390
04616	LRP5	NP_002326.2	Endosteal hyperostosis, autosomal dominant	12579474,12015390
04616	LRP5	NP_002326.2	Osteoporosis, susceptibility to	14727154
04616	LRP5	NP_002326.2	Exudative vitreoretinopathy 4, autosomal dominant	15024691,15981244
04616	LRP5	NP_002326.2	Exudative vitreoretinopathy 4, digenic	15981244,14507768
04616	LRP5	NP_002326.2	Exudative vitreoretinopathy 4, autosomal recessive	9831343,15346351,9056564,15981244
04624	ATXN10	NP_037368.1	Spinocerebellar ataxia 10	11017075,15127363
04625	BCL10	NP_003912.1	T-cell acute lymphocytic leukemia	9989495
04625	BCL10	NP_003912.1	Mesothelioma	9989495
04625	BCL10	NP_003912.1	Follicular lymphoma	9989495
04625	BCL10	NP_003912.1	Malt lymphoma	9989495
04625	BCL10	NP_003912.1	Colonic carcinoma	9989495
04625	BCL10	NP_003912.1	Sezary syndrome	9989495
04625	BCL10	NP_003912.1	Germ cell tumor	9989495
04641	KCNQ4	NP_004691.2	Deafness, autosomal dominant nonsyndromic sensorineural 2	10025409,10369879,11450843,12112653,10571947,10925378,16596322
04648	EYA4	NP_004091.3	Cardiomyopathy, dilated, 1j	10769282,15735644
04648	EYA4	NP_004091.3	Deafness, autosomal dominant nonsyndromic sensorineural 10	11159937
04650	MTMR2	NP_057240.3	Charcot-Marie-tooth disease, type 4b1	10802647
04665	LARGE	NP_004728.1	Muscular dystrophy, congenital, type 1d	12966029
04667	SLC7A7	NP_003973.3	Lysinuric protein intolerance	10080182,10080183,10631139,10655553,10737982
04675	PLA2G6	NP_003551.2	Karak syndrome	16783378
04675	PLA2G6	NP_003551.2	Neurodegeneration with brain iron accumulation, pla2g6-related	16783378
04675	PLA2G6	NP_003551.2	Infantile neuroaxonal dystrophy 1	16783378,17033970
04680	TNFRSF10B	NP_003833.4	Squamous cell carcinoma, head and neck	9721851
04683	RAD54L	NP_003570.2	Breast cancer, invasive ductal	10362365
04683	RAD54L	NP_003570.2	Lymphoma, non-Hodgkin	10362365
04683	RAD54L	NP_003570.2	Adenocarcinoma, colonic	10362365
04705	SCO1	NP_004580.1	Hepatic failure, early-onset, and neurologic disorder due to cytochrome C oxidase deficiency	11013136
04707	COX15	NP_510870.1	Cardiomyopathy, hypertrophic, early-onset fatal	2175025,12474143,15235026
04708	BCS1L	NP_004319.1	Leigh syndrome due to mitochondrial complex III deficiency	11528392
04708	BCS1L	NP_004319.1	Mitochondrial complex III deficiency	11528392
04708	BCS1L	NP_004319.1	Gracile syndrome	12215968,11528392
04708	BCS1L	NP_004319.1	Bjornstad syndrome with mild mitochondrial complex III deficiency	17314340
04708	BCS1L	NP_004319.1	Bjornstad syndrome	9545407,17314340
04710	TRPC6	NP_004612.2	Glomerulosclerosis, focal segmental, 2	10200986,15879175,15924139
04718	STX16	NP_001001433.1	Pseudohypoparathyroidism, type IB	14561710,15579741,15800843
04722	PTCH2	NP_003729.3	Medulloblastoma	9931336
04722	PTCH2	NP_003729.3	Basal cell carcinoma	9931336
04727	OTOF	NP_919224.1	Deafness, autosomal recessive 9	10192385,10903124,10878664,12114484,16371502
04727	OTOF	NP_919224.1	Auditory neuropathy, autosomal recessive, 1	12525542
04727	OTOF	NP_919224.1	Auditory neuropathy, nonsyndromic recessive	12525542,12127154,16371502,9657592
04737	ZFPM2	NP_036214.2	Diaphragmatic hernia 3	16103912
04737	ZFPM2	NP_036214.2	Tetralogy of fallot	14517948
04742	ALOX5AP	NP_001620.2	Myocardial infarction, susceptibility to, 2	14770184
04749	MOCS1	NP_005933.2	Molybdenum cofactor deficiency, complementation group A	9634514,9731530,9921896,10327149,12754701
04750	MOCS2	NP_004522.1	Molybdenum cofactor deficiency, complementation group B	10053004,12754701,1427786,10053003,11746050
04750	MOCS2	NP_004522.1	Molybdenum cofactor deficiency	16021469
04753	CYP7B1	NP_004811.1	Bile acid synthesis defect, congenital, 3	9802883
04756	SIX3	NP_005404.1	Holoprosencephaly 2	10369266,15523651,11039582
04758	GCM2	NP_004743.1	Hypoparathyroidism, familial isolated	11602629,15863676,15728199
04760	CLDN1	NP_066924.1	neonatal ichthyosis-sclerosing cholangitis syndrome	12164927,15521008,16619213
04763	IKBKAP	NP_003631.2	Familial dysautonomia	11179008,11179021,16964593,12116234,10090896
04772	ALOX12B	NP_001130.1	Ichthyosiform erythroderma, congenital, nonbullous, 1	11773004
04793	KLK4	NP_004908.3	Amelogenesis imperfecta, pigmented hypomaturation type	15235027
04804	SNCAIP	NP_005451.2	Parkinson disease	12761037
04805	RECQL4	NP_004251.2	Rothmund-Thomson syndrome	10319867,9878247,10678659
04805	RECQL4	NP_004251.2	Rapadilino syndrome	12952869,15964893
04805	RECQL4	NP_004251.2	Baller-Gerold syndrome	15964893
04813	KCNE2	NP_751951.1	Long qt syndrome 6	10219239
04813	KCNE2	NP_751951.1	Long qt syndrome 6, acquired, susceptibility to	10219239,14661677
04813	KCNE2	NP_751951.1	Atrial fibrillation, familial	15368194
04813	KCNE2	NP_751951.1	Long qt syndrome 3/6, digenic	16922724
04819	AXIN1	NP_003493.1	Hepatocellular carcinoma, somatic	10700176
04819	AXIN1	NP_003493.1	Caudal duplication anomaly	16773576
04825	GNE	NP_001121699.1	Inclusion body myopathy, autosomal recessive	11528398,12473780,12743242,15136692
04825	GNE	NP_001121699.1	Nonaka myopathy	11916006,12177386,12325084,15136692,16372135
04825	GNE	NP_001121699.1	Sialuria	2443758,10330343,2808337,8439453,11326336
04837	SLC25A13	CAD43091.1	Citrullinemia, type II, adult-onset	10369257,11281457,12424587,11343053,11153906,11343052
04838	SLC25A15	NP_055067.1	Hhh syndrome	10369256,11355015,3407856,11552031
04845	RAB27A	NP_004571.2	Griscelli syndrome, type 2	10835631,8319705,12058346,12531900,15163896,16278825
04878	ITM2B	NP_068839.1	Dementia, familial british	10391242
04878	ITM2B	NP_068839.1	Dementia, familial danish	5466275,10781099
04890	HABP2	NP_004123.1	Factor VII-activating protease Marburg I	12138371,12578864,15486068
04893	GPHN	NP_065857.1	Molybdenum cofactor deficiency, complementation group C	11095995
04893	GPHN	NP_065857.1	Hyperekplexia	12684523
04896	RP1	NP_006260.1	Retinitis pigmentosa 1	10391211,1783394,10391212,10401003
04896	RP1	NP_006260.1	Hypertriglyceridemia, susceptibility to	12764676
04896	RP1	NP_006260.1	Retinitis pigmentosa, autosomal recessive	15863674
04897	SLC19A2	NP_008927.1	Thiamine-responsive megaloblastic anemia syndrome	10391221,9399900,10391222,10391223,10978358
04898	EIF2B5	NP_003898.2	Leukoencephalopathy with vanishing white matter	11704758,14694060,12707859,15136689,12325082,12499492,15136690
04898	EIF2B5	NP_003898.2	Ovarioleukodystrophy	12707859
04906	CLDN16	NP_006571.1	Hypomagnesemia, primary	10390358,10878661,668721
04906	CLDN16	NP_006571.1	Hypercalciuria, childhood, self-limiting	14628289
04912	SCN4A	NP_000325.4	Hypokalemic periodic paralysis	10599760,10944223,11591859,11558801,15557532,10851391,14557559
04912	SCN4A	NP_000325.4	Myasthenic syndrome	12766226
04912	SCN4A	NP_000325.4	Paramyotonia congenita	1316765,8005599,1310898,7533571,8583225,8388676,8580427,10369308,10727489
04912	SCN4A	NP_000325.4	Paramyotonia congenita/hyperkalemic periodic paralysis	1338909
04912	SCN4A	NP_000325.4	Paramyotonia congenita/myotonia congenita	1338909,7980103
04912	SCN4A	NP_000325.4	Normokalemic periodic paralysis, potassium-sensitive	15596759
04912	SCN4A	NP_000325.4	Hyperkalemic periodic paralysis	1659948,11309455,12933953,15534250,15642860,1659668,8242056,9131651
04912	SCN4A	NP_000325.4	Myotonia fluctuans	7980103
04912	SCN4A	NP_000325.4	Myotonia congenita, atypical, acetazolamide-responsive	8058156
04912	SCN4A	NP_000325.4	Myotonia, potassium-aggravated	8242056,9771789
04912	SCN4A	NP_000325.4	Myotonia congenita, atypical	9392583,10218481
04913	POLH	NP_006493.1	Xeroderma pigmentosum, variant type	10385124,10398605,11121129,10871396
04935	AXIN2	NP_004646.3	Colorectal cancer, somatic	11017067
04935	AXIN2	NP_004646.3	Oligodontia-colorectal cancer syndrome	15042511
04942	EIF2AK3	NP_004827.4	Wolcott-rallison syndrome	10932183,7551159,12960215,16813601
04951	MPDU1	NP_004861.2	Congenital disorder of glycosylation, type If	11733564,11733556
04962	RGS9	O75916	Bradyopsia	14702087
04972	DLG5	NP_004738.3	Crohn disease, susceptibility to	15107852,16446977
04974	EDAR	NP_071731.1	Ectodermal dysplasia, hypohidrotic, autosomal recessive	10431241
04974	EDAR	NP_071731.1	Ectodermal dysplasia, hypohidrotic, autosomal dominant	10431241
04975	GRM6	NP_000834.2	Night blindness, congenital stationary, type 1B	15781871
04981	MYOT	NP_006781.1	Muscular dystrophy, limb-girdle, type 1A	10958653,12428213,15111675
04981	MYOT	NP_006781.1	Myotilinopathy	15111675
04981	MYOT	NP_006781.1	Myopathy, spheroid body	571956,16380616
04990	RBBP8	AAH30590.1	Pancreatic carcinoma, somatic	9811458
04994	ADAMTS13	NP_620594.1	Thrombotic thrombocytopenic purpura, congenital	11586351,14512317,12181489,12576319,14563640,6433703,7094941,15126318,15521921,12393505
04996	TYROBP	NP_003323.1	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy	10888890,12370476
04997	SLC7A9	NP_055085.1	Cystinuria	10471498,11013083,15635077,11157794,12371955,11748844,12820697
04999	SGCE	NP_001092871.1	Myoclonus-dystonia syndrome	11528394,15728306,12874409,10220438,12402271,11523564,12391355,12391338,12821748,12743249,16240355
05019	CRB1	NP_957705.1	Retinitis pigmentosa 12	10508521,8069649,11389483
05019	CRB1	NP_957705.1	Leber congenital amaurosis, type VIII	11389483
05019	CRB1	NP_957705.1	Pigmented paravenous chorioretinal atrophy	15623792
05020	KRIT1	NP_919437.1	Cerebral cavernous malformations 1	10508515,10545614,3393196,7898703,10814716,11310633,11941540,11222804,11914398
05020	KRIT1	NP_919437.1	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations	10814716
05020	KRIT1	NP_919437.1	Cavernous malformations of CNS and retina	11831930
05026	CD2AP	NP_036252.1	Glomerulosclerosis, focal segmental, 3	12764198
05027	RNF6	NP_005968.1	Esophageal squamous cell carcinoma, somatic	12154016
05035	DLC1	NP_872584.2	Colorectal cancer, somatic	10649492
05037	STAT5B	NP_036580.2	Growth hormone insensitivity with immunodeficiency	13679528,16920911
05042	SCO2	NP_005129.2	Cardioencephalomyopathy, fatal infantile, due to cytochrome C oxidase deficiency	10545952,11673586,12020273,10749987
05044	SPAST	NP_055761.2	Spastic paraplegia 4	10610178,11309678,10699187,11039577,10493830,10980739,11704932,12202986,15210521,15248095,16476945
05044	SPAST	NP_055761.2	Spastic paraplegia 4, modifier of	11015453,15248095,15326248
05047	PRG4	NP_005798.2	Camptodactyly-arthropathy-coxa vara-pericarditis syndrome	10545950
05048	AGXT	NP_000021.1	Hyperoxaluria, primary, type I	2039493,2363689,1703535,1961759,17110443,1349575,8101040,9192270,12777626,10453743
05049	RAD54B	NP_036547.1	Colon cancer	10362364
05049	RAD54B	NP_036547.1	Lymphoma, non-Hodgkin	10362364
05052	GRHPR	NP_036335.1	Hyperoxaluria, primary, type II	10484776,11030416
05054	HLA-DQB1	NP_002114.3	Creutzfeldt-Jakob disease, variant, resistance to	11713518
05056	CST3	NP_000090.1	Amyloidosis, cerebroarterial, Icelandic type	3495457,1352269,8108423
05057	GALK1	NP_000145.1	Galactokinase deficiency	7670469,10521295,10790206,15322984,11231902
05058	SLC17A5	NP_036566.1	Salla disease	10581036,10947946,15510212,15516337,16170568
05058	SLC17A5	NP_036566.1	Infantile sialic acid storage disorder	10581036,2010546,7151835,7573152,10069709,2334213,12121352
05059	PPP2R2B	NP_858062.1	Spinocerebellar ataxia 12	9403486,10581021,11198281
05060	B4GALT7	NP_009186.1	Ehlers-Danlos syndrome, progeroid form	3631078,10506123,10473568
05079	PROM1	NP_006008.1	Retinal degeneration, autosomal recessive, prominin-related	10587575
05080	DNAI1	NP_036276.1	Ciliary dyskinesia, primary, 1	10577904
05080	DNAI1	NP_036276.1	Kartagener syndrome	11231901
05084	CHEK2	NP_001005735.1	Li-Fraumeni syndrome 2	10617473,11479205,11967536,12094328,12533788,12690581,15122511,15466005,16257342,17085682,15239132,15492928,16816021,11719428
05084	CHEK2	NP_001005735.1	Osteosarcoma, somatic	11746983
05084	CHEK2	NP_001005735.1	Prostate cancer, somatic	12533788
05084	CHEK2	NP_001005735.1	Prostate cancer, susceptibility to	15492928,17085682
05084	CHEK2	NP_001005735.1	Breast cancer, susceptibility to	16551709,17085682
05089	ATP2C1	NP_001001486.1	Hailey-Hailey disease	10615129,10767338,11874499,3978039,15545997
05091	TRPS1	NP_054831.2	Trichorhinophalangeal syndrome, type I	10615131,11359471,14560312
05091	TRPS1	NP_054831.2	Trichorhinophalangeal syndrome, type III	11112658,11807863,11950061
05092	AIPL1	NP_055151.3	Retinitis pigmentosa, juvenile, autosomal dominant	10873396
05092	AIPL1	NP_055151.3	Leber congenital amaurosis, type IV	10615133
05094	MLH3	BAA92353.1	Colorectal cancer, somatic	11317354
05094	MLH3	BAA92353.1	Colon cancer, hereditary nonpolyposis, type 7	11586295
05098	ST3GAL5	NP_003887.3	Amish infantile epilepsy syndrome	15502825
05107	GJB6	NP_006774.2	Deafness, autosomal dominant nonsyndromic sensorineural 3	10471490
05107	GJB6	NP_006774.2	Ectodermal dysplasia, hidrotic	11017065,11874494
05107	GJB6	NP_006774.2	Deafness, autosomal recessive nonsyndromic sensorineural 1	11807148,15994881,14571368,15638823
05132	NR2E3	NP_055064.1	Enhanced s-cone syndrome	10655056
05132	NR2E3	NP_055064.1	Retinitis pigmentosa, autosomal recessive	11071390,10655056
05133	TCAP	NP_003664.1	Muscular dystrophy, limb-girdle, type 2G	10655062
05133	TCAP	NP_003664.1	Cardiomyopathy, dilated, 1N	12507422
05134	AMACR	NP_055139.4	Alpha-methylacyl-CoA racemase deficiency	10655068,12512044
05134	AMACR	NP_055139.4	Bile acid synthesis defect, congenital, 4	10655068,9584266
05135	SACS	NP_055178.3	Spastic ataxia, Charlevoix-Saguenay type	10610707,10655055,14718706,12873855,14718708,15985586
05153	BLNK	NP_037446.1	Hypoglobulinemia and absent B cells	10583958
05173	ADAMTS2	NP_055059.2	Ehlers-Danlos syndrome, type VIIC	10417273
05194	ALG6	NP_037471.2	Congenital disorder of glycosylation, type Ic	10359825,10914684
05197	CNTNAP2	NP_054860.1	Cortical dysplasia-focal epilepsy syndrome	16571880
05203	FZD4	NP_036325.2	Exudative vitreoretinopathy 1	12172548,14507768,15981244,15488808
05203	FZD4	NP_036325.2	Retinopathy of prematurity	15733276
05204	FBLN5	NP_006320.2	Cutis laxa, autosomal recessive, type I	12189163
05204	FBLN5	NP_006320.2	Cutis laxa, autosomal dominant	12618961
05204	FBLN5	NP_006320.2	Macular degeneration, age-related, 3	15269314
05206	PDGFRL	NP_006198.1	Hepatocellular carcinoma, somatic	7898930
05206	PDGFRL	NP_006198.1	Colorectal cancer, somatic	7898930
05207	TCIRG1	NP_006010.2	Osteopetrosis, autosomal recessive	10888887,10942435,11532986,12552563,12566520
05211	BLM	NP_000048.1	Bloom syndrome	7585968,9482582,9837821,10090915,12242432,9285778
05212	WRN	NP_000544.2	Werner syndrome	8602509,8037212,9225981,16673358,9048918,8968742,9450180,10628995,12827497
05214	TBX19	NP_005140.1	ACTH deficiency	11290323,2830787
05216	LGI1	NP_005088.1	Epilepsy, lateral temporal lobe, autosomal dominant	11810107,12205652,12601709,11978770,15349881,12771268
05218	MMP20	NP_004762.2	Amelogenesis imperfecta, pigmented hypomaturation type	15744043
05219	NR0B2	NP_068804.1	Obesity, mild, early-onset	11136233
05221	EFEMP2	NP_058634.3	Cutis laxa, autosomal recessive, type I	16685658
05222	ACTN4	NP_004915.2	Glomerulosclerosis, focal segmental, 1	10700177
05223	MAPK8IP1	NP_005447.1	Diabetes mellitus, noninsulin-dependent	10700186
05229	SLC40A1	NP_055400.1	Hemochromatosis, type 4	11431687,11518736,16813613,12091366,12091367,12123233,12406098,12730114,16351644
05241	CD209	NP_066978.1	Human immunodeficiency virus type 1, susceptibility to	15564514,15838506,16379498
05241	CD209	NP_066978.1	Mycobacterium tuberculosis, susceptibility to	16379498
05254	PTGDR	NP_000944.1	Asthma, susceptibiilty to, 1	15496624
05259	AKAP10	NP_009133.2	Longevity, reduced	12646697
05262	CCL26	NP_006063.1	Esophagitis, eosinophilic, susceptibility to	16453027
05269	MERTK	NP_006334.2	Retinitis pigmentosa, mertk-related	11062461,11727200
05282	TFR2	NP_003218.2	Hemochromatosis, type 3	10802645,11313241,12130528
05282	TFR2	NP_003218.2	Hemochromatosis, type 1, modifier of	12150153
05285	TSFM	NP_005717.3	Combined oxidative phosphorylation deficiency 3	17033963
